ID,Name,Is_free,Is_PVP,Genre_Acción,Genre_Aventura,Genre_Carreras,Genre_Casual,Genre_Deportes,Genre_Estrategia,Genre_Indie,Genre_Multijugador masivo,Genre_Rol,Genre_Simuladores,Mixed,Multijugador,Un jugador,Gano_GOTY
656350,UnderMine,False,False,1,1,0,0,0,0,1,0,1,0,False,False,True,False
668580,Atomic Heart,False,False,1,1,0,0,0,0,0,0,1,0,False,False,True,False
678950,DRAGON BALL FighterZ,False,True,1,0,0,0,0,0,0,0,0,0,False,False,True,False
678960,CODE VEIN,False,False,1,0,0,0,0,0,0,0,1,0,True,False,False,False
682990,Drug Dealer Simulator,False,False,1,1,0,0,0,0,1,0,0,1,False,False,True,False
683320,GRIS,False,False,0,1,0,0,0,0,1,0,0,0,False,False,True,False
686810,Hell Let Loose,False,True,1,0,0,0,0,1,1,1,0,1,False,True,False,False
690640,Trine 4: The Nightmare Prince,False,False,1,1,0,0,0,0,1,0,0,0,True,False,False,False
690790,DiRT Rally 2.0,False,True,0,0,1,0,1,0,0,0,0,1,False,False,True,False
690830,Foundation,False,False,0,0,0,0,0,1,1,0,0,1,False,False,True,False
702670,Donut County,False,False,0,1,0,1,0,0,1,0,0,0,False,False,True,False
703080,Planet Zoo,False,False,0,0,0,1,0,1,0,0,0,1,False,False,True,False
710920,Darksiders Genesis,False,False,1,1,0,0,0,0,0,0,0,0,True,False,False,False
714120,Little Misfortune,False,False,0,1,0,1,0,0,1,0,0,0,False,False,True,False
718670,Cultist Simulator,False,False,0,0,0,0,0,0,1,0,1,1,False,False,True,False
728880,Overcooked! 2,False,True,1,0,0,1,0,0,1,0,0,0,True,False,False,False
736260,Baba Is You,False,False,0,0,0,0,0,0,1,0,0,0,False,False,True,False
738520,Breathedge,False,False,1,1,0,0,0,0,1,0,0,1,False,False,True,False
743450,Monster Prom,False,True,0,0,0,0,0,0,1,0,0,1,False,False,True,False
745920,Temtem,False,True,0,1,0,0,0,0,1,1,1,0,False,True,False,False
746850,Cloudpunk,False,False,0,1,0,0,0,0,1,0,1,0,False,False,True,False
750920,Shadow of the Tomb Raider: Definitive Edition,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
752590,A Plague Tale: Innocence,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
753640,Outer Wilds,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
756800,Contraband Police,False,False,1,1,0,0,0,0,0,0,0,1,False,False,True,False
763890,Wildermyth,False,False,0,0,0,0,0,1,1,0,1,0,True,False,False,False
764790,The Messenger,False,False,1,0,0,0,0,0,1,0,0,0,False,False,True,False
775500,SCARLET NEXUS,False,False,1,1,0,0,0,0,0,0,1,0,False,False,True,False
779340,Total War: THREE KINGDOMS,False,True,1,0,0,0,0,1,0,0,0,0,True,False,False,False
780290,Gloomhaven,False,False,0,1,0,0,0,1,0,0,1,0,True,False,False,False
780310,The Riftbreaker,False,False,1,1,0,0,0,1,1,0,1,1,True,False,False,False
784080,MechWarrior 5: Mercenaries,False,False,1,0,0,0,0,0,0,0,0,1,True,False,False,False
784150,Workers & Resources: Soviet Republic,False,False,0,0,0,0,0,1,0,0,0,1,False,False,True,False
787860,Farming Simulator 19,False,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False
792300,The Beast Inside,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
805550,Assetto Corsa Competizione,False,True,0,0,1,0,1,0,0,0,0,1,False,False,True,False
813230,ANIMAL WELL,False,False,1,1,0,0,0,0,1,0,0,0,False,False,True,False
813630,Supraland,False,False,1,1,0,0,0,0,1,0,1,0,False,False,True,False
813780,Age of Empires II: Definitive Edition,False,True,0,0,0,0,0,1,0,0,0,0,True,False,False,False
814370,Monster Sanctuary,False,True,1,1,0,0,0,1,1,0,1,0,False,False,True,False
815370,Green Hell,False,False,1,1,0,0,0,0,1,0,0,1,True,False,False,False
823500,BONEWORKS,False,False,1,1,0,0,0,0,1,0,0,1,False,False,True,False
834530,Yakuza Kiwami,False,False,1,1,0,0,0,0,0,0,1,0,False,False,True,False
837470,Untitled Goose Game,False,False,1,0,0,0,0,0,1,0,0,0,True,False,False,False
847370,Sunset Overdrive,False,False,1,1,0,0,0,0,0,0,0,0,False,False,True,False
851850,DRAGON BALL Z: KAKAROT,False,False,1,0,0,0,0,0,0,0,1,0,False,False,True,False
859580,Imperator: Rome,False,True,0,0,0,0,0,1,0,0,0,1,False,False,True,False
860510,Little Nightmares II,False,False,0,1,0,0,0,0,0,0,0,0,False,False,True,False
861540,Dicey Dungeons,False,False,0,0,0,0,0,1,1,0,0,0,False,False,True,False
865360,We Were Here Together,False,False,0,1,0,1,0,0,1,0,0,0,False,True,False,False
874260,The Forgotten City,False,False,0,1,0,0,0,0,1,0,1,0,False,False,True,False
